Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Mark Bradley,TB,WR,13,26,0,0,20,0,24,320,2,0,3.6,47.04
Daunte Culpepper,DET,QB,8,945,3,6,91,0,0,0,0,0,5.9,46.9
Brandon Pettigrew,DET,TE,11,0,0,0,0,0,30,346,2,0,4.2,46.6
Chris Cooley,WAS,TE,7,0,0,0,0,0,29,332,2,0,6.5,45.2
Sam Aiken,NE,WR,14,0,0,0,0,0,20,326,2,0,3.2,44.6
Chansi Stuckey,CLE,WR,15,0,0,0,6,0,30,318,2,0,3,44.4
Leon Washington,NYJ,RB,7,0,0,0,331,0,15,131,0,1,6.3,44.2
LeRon McClain,BAL,RB,16,0,0,0,180,2,21,141,0,0,2.8,44.1
Kevin Kolb,PHI,QB,5,741,4,3,-1,1,0,0,0,1,8.7,43.54
Mewelde Moore,PIT,RB,16,6,1,0,118,0,21,153,2,0,2.7,43.34
Daniel Fells,LAR,TE,14,0,0,0,0,0,21,273,3,1,3.1,43.3
Dante Rosario,CAR,TE,14,0,0,0,0,0,26,313,2,0,3.1,43.3
Lex Hilliard,MIA,RB,16,0,0,0,89,1,20,158,2,0,2.7,42.7
Maurice Stovall,TB,WR,15,0,0,0,0,0,24,366,1,0,2.8,42.6
Julian Edelman,NE,WR,11,0,0,0,5,0,37,359,1,0,3.9,42.4
Jordy Nelson,GB,WR,13,0,0,0,0,0,22,320,2,1,3.2,42
Anthony Fasano,MIA,TE,14,0,0,0,0,0,31,339,2,2,3,41.9
Chris Redman,ATL,QB,6,781,4,3,4,0,0,0,0,0,6.9,41.64
David Thomas,NO,TE,15,0,0,0,0,0,35,356,1,0,2.8,41.6
Seneca Wallace,SEA,QB,13,700,3,2,2,1,2,29,0,2,3.2,41.1
Josh Johnson,TB,QB,6,685,4,8,148,0,0,0,0,1,6.7,40.2
Dennis Northcutt,DET,WR,16,0,0,0,0,0,35,357,1,1,2.5,39.7
Kyle Boller,LAR,QB,7,899,3,6,76,0,0,0,0,2,5.7,39.56
Sammie Stroughter,TB,WR,13,0,0,0,0,0,31,334,1,0,3,39.4
Randy McMichael,LAR,TE,16,0,0,0,0,0,34,332,1,0,2.4,39.2
Bernard Scott,CIN,RB,13,0,0,0,321,0,5,67,0,0,3,38.8
Brandon Gibson,LAR,WR,10,0,0,0,0,0,34,348,1,1,3.9,38.8
Joel Dreessen,HOU,TE,16,0,0,0,0,0,26,320,1,0,2.4,38
Jeff King,CAR,TE,16,0,0,0,0,0,25,200,3,0,2.4,38
Legedu Naanee,LAC,WR,15,21,0,0,7,0,24,242,2,0,2.5,37.74
David Anderson,HOU,WR,16,0,0,0,0,0,38,370,0,0,2.3,37
Danny Amendola,LAR,WR,14,0,0,0,-2,0,43,326,1,1,2.6,36.4
Rashad Jennings,JAX,RB,15,0,0,0,202,1,16,101,0,0,2.4,36.3
Glen Coffee,SF,RB,14,0,0,0,226,1,11,76,0,0,2.6,36.2
JP Foschi,CIN,TE,15,0,0,0,0,0,27,260,2,1,2.4,36
Chris Henry,CIN,WR,8,0,0,0,0,0,12,236,2,0,4.4,35.6
Spencer Havner,GB,TE,16,0,0,0,0,0,7,112,4,0,2.2,35.2
Daniel Graham,DEN,TE,16,0,0,0,0,0,28,289,1,0,2.2,34.9
Malcolm Kelly,WAS,WR,16,0,0,0,0,0,25,347,0,0,2.2,34.7
Eddie Royal,DEN,WR,14,0,0,0,1,0,37,345,0,0,2.5,34.6
Byron Leftwich,TB,QB,3,594,4,3,6,0,0,0,0,0,11.5,34.36
Derek Anderson,CLE,QB,8,888,3,10,8,2,0,0,0,3,4.3,34.32
Brad Smith,NYJ,WR,13,27,0,0,207,1,7,63,0,0,2.6,34.08
