Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Brandon Marshall,CHI,WR,16,969,60.6,92.6,0.1,20,12.3,20.1,216.6,22.4
Sam Bradford,LAR,QB,16,1036,64.8,99.2,3.6,0,56.8,56.8,230.78,22.3
Jake Locker,TEN,QB,11,593,53.9,59.5,6.9,0,59.9,59.9,132.14,22.3
Julio Jones,ATL,WR,16,836,52.2,78.9,0.7,15.4,10.2,16.1,182.8,21.9
Jimmy Graham,NO,TE,15,695,46.3,62.8,0,19.4,12.2,19.4,152.2,21.9
Chris Johnson,TEN,RB,16,813,50.8,81.6,33.9,6,38.4,40,175.5,21.6
Ryan Fitzpatrick,BUF,QB,16,997,62.3,98.6,4.8,0,55.5,55.5,213.7,21.4
Jarius Wright,MIN,WR,7,206,29.4,19.9,1,17.5,11.7,18.4,44.1,21.4
Jonathan Dwyer,PIT,RB,13,380,29.2,35.6,41.1,6.6,45.8,47.6,80.9,21.3
AJ Green,CIN,WR,16,960,60,90.8,0.4,17.1,10.5,17.5,202.8,21.1
Daniel Thomas,MIA,RB,12,323,26.9,35.4,28.2,6.8,32.8,35,68.1,21.1
Cecil Shorts,JAX,WR,14,656,46.9,66.3,0.2,16,8.5,16.2,137.5,21
LeSean McCoy,PHI,RB,12,695,57.9,61.7,28.8,9.6,36.5,38.4,145.3,20.9
LaRod Stephens-Howling,ARI,RB,14,338,24.1,32.1,32.5,8.9,37.6,41.4,70.2,20.8
Chad Henne,JAX,QB,10,546,54.6,51.4,3.5,0.2,60.1,60.1,113.16,20.7
Marques Colston,NO,WR,16,831,51.9,75.1,0,15.6,10,15.6,171.4,20.6
Bilal Powell,NYJ,RB,14,397,28.4,37,27.7,9.1,32,36.8,81.7,20.6
Cedric Benson,GB,RB,5,199,39.8,57.2,35.7,7.5,42.7,43.2,40.5,20.4
Philip Rivers,LAC,QB,16,1025,64.1,100,2.6,0.1,54,54.1,208.24,20.3
Matt Schaub,HOU,QB,16,1104,69,98,1.9,0.1,51.3,51.3,222.82,20.2
Jay Cutler,CHI,QB,15,920,61.3,88,4.5,0,51.6,51.6,184.62,20.1
